Navn;Stasjon;Tid(norsk normaltid);Pent vær (døgn);Overskya vær (døgn);Gjennomsnittlig skydekke (døgn)
Trondheim - Voll;SN68860;11.12.2015;0;0;5
Trondheim - Voll;SN68860;12.12.2015;0;0;4,3
Trondheim - Voll;SN68860;13.12.2015;0;0;6
Trondheim - Voll;SN68860;14.12.2015;0;0;4,7
Trondheim - Voll;SN68860;15.12.2015;0;1;7
Trondheim - Voll;SN68860;16.12.2015;0;1;7
Trondheim - Voll;SN68860;17.12.2015;0;1;7,3
Trondheim - Voll;SN68860;18.12.2015;0;0;6
Trondheim - Voll;SN68860;19.12.2015;0;1;7,7
Trondheim - Voll;SN68860;20.12.2015;0;1;7,7
Trondheim - Voll;SN68860;21.12.2015;0;0;4
Trondheim - Voll;SN68860;22.12.2015;0;0;6
Trondheim - Voll;SN68860;23.12.2015;0;0;5
Trondheim - Voll;SN68860;24.12.2015;0;0;4,7
Trondheim - Voll;SN68860;25.12.2015;0;0;4,3
Trondheim - Voll;SN68860;26.12.2015;0;0;6
Trondheim - Voll;SN68860;27.12.2015;1;0;0
Trondheim - Voll;SN68860;28.12.2015;0;0;2
Trondheim - Voll;SN68860;29.12.2015;0;0;6
Trondheim - Voll;SN68860;30.12.2015;0;1;7
Trondheim - Voll;SN68860;31.12.2015;0;1;7,3
Trondheim - Voll;SN68860;01.01.2016;0;1;7
Trondheim - Voll;SN68860;02.01.2016;0;0;5,7
Trondheim - Voll;SN68860;03.01.2016;1;0;0
Trondheim - Voll;SN68860;04.01.2016;1;0;1,7
Trondheim - Voll;SN68860;05.01.2016;1;0;0
Trondheim - Voll;SN68860;06.01.2016;0;0;5
Trondheim - Voll;SN68860;07.01.2016;0;1;7
Trondheim - Voll;SN68860;08.01.2016;1;0;1,3
Trondheim - Voll;SN68860;09.01.2016;1;0;0
Trondheim - Voll;SN68860;10.01.2016;0;0;3,3
Trondheim - Voll;SN68860;11.01.2016;0;1;6,7
Trondheim - Voll;SN68860;12.01.2016;0;0;5
Trondheim - Voll;SN68860;13.01.2016;1;0;1,7
Trondheim - Voll;SN68860;14.01.2016;1;0;1,7
Trondheim - Voll;SN68860;15.01.2016;1;0;1
Trondheim - Voll;SN68860;16.01.2016;0;0;5,3
Trondheim - Voll;SN68860;17.01.2016;0;1;6,7
Trondheim - Voll;SN68860;18.01.2016;0;0;6
Trondheim - Voll;SN68860;19.01.2016;0;1;8
Trondheim - Voll;SN68860;20.01.2016;0;1;8
Trondheim - Voll;SN68860;21.01.2016;0;0;6
Trondheim - Voll;SN68860;22.01.2016;0;0;3,7
Trondheim - Voll;SN68860;23.01.2016;0;1;7,3
Trondheim - Voll;SN68860;24.01.2016;0;0;5,3
Trondheim - Voll;SN68860;25.01.2016;0;1;7
Trondheim - Voll;SN68860;26.01.2016;0;1;7,3
Trondheim - Voll;SN68860;27.01.2016;0;1;7
Trondheim - Voll;SN68860;28.01.2016;0;1;6,7
Trondheim - Voll;SN68860;29.01.2016;0;0;6
Trondheim - Voll;SN68860;30.01.2016;0;1;8
Trondheim - Voll;SN68860;31.01.2016;0;0;6
Trondheim - Voll;SN68860;01.02.2016;0;0;6
Trondheim - Voll;SN68860;02.02.2016;0;0;5,7
Trondheim - Voll;SN68860;03.02.2016;0;1;7,3
Trondheim - Voll;SN68860;04.02.2016;0;1;6,7
Trondheim - Voll;SN68860;05.02.2016;0;0;6,3
Trondheim - Voll;SN68860;06.02.2016;0;1;8
Trondheim - Voll;SN68860;07.02.2016;0;0;6
